"reference_id","product_name","country","campaign_name","source","sales_agent_name","company_revenue","total_rebill_amount","number_of_rebills","returned_amount","discount_amount","total_amount","order_date_kyiv","order_date_utc","order_date_ny","return_date_kyiv","return_date_utc","return_date_ny","days_to_return"
"GYB220101-1800-27157"," Support 3-month Plan","US","AQ_9","Chat","Nick","268.95","119.7",6,"0","49.75","149.25","2022-01-01 22:34:00","2022-01-01 20:34:00","2022-01-01 15:34:00",NULL,NULL,NULL,NULL
"GYB220101-1800-81123"," Support One Time PC Support ","AU","AQ_7","Call","Esmee","119.19","0",0,"0","29.80","119.19","2022-01-01 05:22:00","2022-01-01 03:22:00","2021-12-31 22:22:00",NULL,NULL,NULL,NULL
"GYB220102-5490-23160"," Support 36-month Plan","US","AQ_9","Call","Jackie","50.00","0",0,"634.00","0.00","684.00","2022-01-02 21:53:00","2022-01-02 19:53:00","2022-01-02 14:53:00","2022-01-04 12:38:00","2022-01-04 10:38:00","2022-01-04 05:38:00","1"
"GYB220102-5490-53112"," Support Single Device Monthly Subscription","US","AQ_9","Chat","Clary","99.00","0",0,"0","0.00","99.00","2022-01-02 18:26:00","2022-01-02 16:26:00","2022-01-02 11:26:00",NULL,NULL,NULL,NULL
"GYB220103-4319-34119"," Support 24-month Plan","US","BF.Upgrade","Call","Jackie","489.60","0",0,"0","86.40","489.60","2022-01-03 21:31:00","2022-01-03 19:31:00","2022-01-03 14:31:00",NULL,NULL,NULL,NULL
"GYB220103-6977-97158"," Support One Time PC Support ","CA","AQ_1","Call","Jackie","119.74","0",0,"0","29.94","119.74","2022-01-04 00:17:00","2022-01-03 22:17:00","2022-01-03 17:17:00",NULL,NULL,NULL,NULL
"GYB220104-2435-90148"," Support 24-month Plan","US","ByteFence.CTA","Call","Esmee","576.00","0",0,"0","0.00","576.00","2022-01-05 01:33:00","2022-01-04 23:33:00","2022-01-04 18:33:00",NULL,NULL,NULL,NULL
"GYB220104-2435-91122"," Support One Time PC Support ","CA","AQ_3","Call","Vicky","148.86","0",0,"0","0.00","148.86","2022-01-04 23:05:00","2022-01-04 21:05:00","2022-01-04 16:05:00",NULL,NULL,NULL,NULL
"GYB220104-4319-32105"," Support One Time PC Support ","US","AQ_9","Chat","Megan","149.00","0",0,"0","0.00","149.00","2022-01-04 21:53:00","2022-01-04 19:53:00","2022-01-04 14:53:00",NULL,NULL,NULL,NULL
"GYB220104-5490-77123"," Support 36-month Plan","US","AQ_9","Chat","Megan","684.00","0",0,"0","0.00","684.00","2022-01-04 18:25:00","2022-01-04 16:25:00","2022-01-04 11:25:00",NULL,NULL,NULL,NULL
"GYB220104-8715-72118"," Support 12-month Plan","US","AQ_9","Call","Vicky","345.60","0",0,"0","86.40","345.60","2022-01-04 19:32:00","2022-01-04 17:32:00","2022-01-04 12:32:00",NULL,NULL,NULL,NULL
"GYB220105-4319-74113"," Support One Time PC Support ","CA","AQ_1","Call","Esmee","97.11","0",0,"0","52.29","97.11","2022-01-06 01:08:00","2022-01-05 23:08:00","2022-01-05 18:08:00",NULL,NULL,NULL,NULL
"GYB220105-5490-83111"," Support One Time PC Support ","US","AQ_9","Call","Jackie","126.65","0",0,"0","22.35","126.65","2022-01-05 07:07:00","2022-01-05 05:07:00","2022-01-05 00:07:00",NULL,NULL,NULL,NULL
"GYB220106-1800-64131"," Support Single Device Monthly Subscription","US","AQ_25","Call","Esmee","99.00","0",0,"0","0.00","99.00","2022-01-06 20:31:00","2022-01-06 18:31:00","2022-01-06 13:31:00",NULL,NULL,NULL,NULL
"GYB220106-2435-53108"," Support One Time PC Support ","US","n/a","n/a","n/a","96.85","0",0,"0","52.15","96.85","2022-01-06 03:43:00","2022-01-06 01:43:00","2022-01-05 20:43:00",NULL,NULL,NULL,NULL
"GYB220106-2435-63145"," Support 12-month Plan","US","AQ_9","Call","Esmee","0.00","0",0,"432.00","0.00","432.00","2022-01-06 18:43:00","2022-01-06 16:43:00","2022-01-06 11:43:00","2022-01-13 03:20:00","2022-01-13 01:20:00","2022-01-12 20:20:00","6"
"GYB220106-5490-48130"," Support Single Device Monthly Subscription","US","AQ_9","Call","Esmee","79.20","0",0,"0","19.80","79.20","2022-01-06 17:51:00","2022-01-06 15:51:00","2022-01-06 10:51:00",NULL,NULL,NULL,NULL
"GYB220106-8715-51112"," Support One Time PC Support ","CA","AQ_1","Call","Jacob","149.45","0",0,"0","0.00","149.45","2022-01-06 21:18:00","2022-01-06 19:18:00","2022-01-06 14:18:00",NULL,NULL,NULL,NULL
"GYB220107-1511-41116"," Support 36-month Plan","CA","AQ_9","Call","Jayce","683.68","0",0,"0","0.00","683.68","2022-01-07 20:35:00","2022-01-07 18:35:00","2022-01-07 13:35:00",NULL,NULL,NULL,NULL
"GYB220107-6604-87123"," Support 6-month Plan","US","AQ.Upgrade","Call","Rodger","174.30","0",0,"0","74.70","174.30","2022-01-07 20:07:00","2022-01-07 18:07:00","2022-01-07 13:07:00",NULL,NULL,NULL,NULL
"GYB220107-6911-85132"," Support 12-month Plan","US","AQ_9","Chat","Biby","631.50","199.5",10,"0","0.00","432.00","2022-01-07 03:36:00","2022-01-07 01:36:00","2022-01-06 20:36:00",NULL,NULL,NULL,NULL
"GYB220108-4354-86171"," Support 12-month Plan","CA","AQ_1","Call","Rodger","538.52","192.95",10,"0","86.39","345.57","2022-01-09 00:39:00","2022-01-08 22:39:00","2022-01-08 17:39:00",NULL,NULL,NULL,NULL
"GYB220108-5542-65141"," Support 12-month Plan","CA","AQ_1","Call","Rodger","21.30","0",0,"281.07","129.59","302.37","2022-01-08 17:50:00","2022-01-08 15:50:00","2022-01-08 10:50:00","2022-01-29 11:51:00","2022-01-29 09:51:00","2022-01-29 04:51:00","20"
"GYB220108-6911-16230"," Support Single Device Monthly Subscription","US","AQ_9","Call","Rodger","138.90","39.9",2,"0","0.00","99.00","2022-01-09 02:47:00","2022-01-09 00:47:00","2022-01-08 19:47:00",NULL,NULL,NULL,NULL
"GYB220108-6911-25129"," Support One Time PC Support ","GB","AQ_9","Chat","Clary","149.41","0",0,"0","0.00","149.41","2022-01-08 19:02:00","2022-01-08 17:02:00","2022-01-08 12:02:00",NULL,NULL,NULL,NULL
"GYB220108-6911-44171"," Support Single Device Monthly Subscription","US","AQ_25","Call","Jackie","49.50","0",0,"0","49.50","49.50","2022-01-08 19:42:00","2022-01-08 17:42:00","2022-01-08 12:42:00",NULL,NULL,NULL,NULL
"GYB220109-1511-50132"," Support 3-month Plan","US","AQ_9","Call","Jayce","199.00","0",0,"0","0.00","199.00","2022-01-09 04:56:00","2022-01-09 02:56:00","2022-01-08 21:56:00",NULL,NULL,NULL,NULL
"GYB220109-4354-44148"," Support 3-month Plan","US","AQ_9","Chat","Megan","179.15","19.95",1,"0","39.80","159.20","2022-01-09 13:11:00","2022-01-09 11:11:00","2022-01-09 06:11:00",NULL,NULL,NULL,NULL
"GYB220109-4354-47123"," Support 3-month Plan","US","AQ_25","Call","Nick","578.05","379.05",19,"0","0.00","199.00","2022-01-09 03:13:00","2022-01-09 01:13:00","2022-01-08 20:13:00",NULL,NULL,NULL,NULL
"GYB220109-6604-74116"," Support 36-month Plan","US","AQ_25","Call","Rodger","478.80","0",0,"0","205.20","478.80","2022-01-10 01:45:00","2022-01-09 23:45:00","2022-01-09 18:45:00",NULL,NULL,NULL,NULL
"GYB220110-4354-47133"," Support 24-month Plan","US","AQ_25","Call","Esmee","576.00","0",0,"0","0.00","576.00","2022-01-10 19:31:00","2022-01-10 17:31:00","2022-01-10 12:31:00",NULL,NULL,NULL,NULL
"GYB220110-4354-90170"," Support 36-month Plan","CA","AQ_1","Call","Esmee","684.10","0",0,"0","0.00","684.10","2022-01-10 21:08:00","2022-01-10 19:08:00","2022-01-10 14:08:00",NULL,NULL,NULL,NULL
"GYB220110-6604-28126"," Support 12-month Plan","US","AQ_25","Call","Vicky","432.00","0",0,"0","0.00","432.00","2022-01-11 01:29:00","2022-01-10 23:29:00","2022-01-10 18:29:00",NULL,NULL,NULL,NULL
"GYB220110-6911-44113"," Support 36-month Plan","US","AQ_9","Call","Rodger","478.80","0",0,"0","205.20","478.80","2022-01-10 06:42:00","2022-01-10 04:42:00","2022-01-09 23:42:00",NULL,NULL,NULL,NULL
"GYB220110-8954-29129"," Support 3-month Plan","US","AQ_9","Chat","Rinna","199.00","0",0,"0","0.00","199.00","2022-01-11 01:34:00","2022-01-10 23:34:00","2022-01-10 18:34:00",NULL,NULL,NULL,NULL
"GYB220111-1511-18147"," Support One Time PC Support ","US","AQ_9","Chat","Biby","149.00","0",0,"0","0.00","149.00","2022-01-11 21:24:00","2022-01-11 19:24:00","2022-01-11 14:24:00",NULL,NULL,NULL,NULL
"GYB220111-1511-84107"," Support 12-month Plan","US","AQ_9","Call","Jayce","50.00","0",0,"382.00","0.00","432.00","2022-01-11 03:22:00","2022-01-11 01:22:00","2022-01-10 20:22:00","2022-02-12 17:17:00","2022-02-12 15:17:00","2022-02-12 10:17:00","32"
"GYB220111-4354-59122"," Support 12-month Plan","AU","AQ_9","Chat","Olivia","431.60","0",0,"0","0.00","431.60","2022-01-11 12:28:00","2022-01-11 10:28:00","2022-01-11 05:28:00",NULL,NULL,NULL,NULL
"GYB220111-5542-38113"," Support One Time PC Support ","US","AQ_25","Call","Jacob","111.75","0",0,"0","37.25","111.75","2022-01-11 20:11:00","2022-01-11 18:11:00","2022-01-11 13:11:00",NULL,NULL,NULL,NULL
"GYB220111-6911-88135"," Support Single Device Monthly Subscription","US","AQ_9","Call","Esmee","49.50","0",0,"0","49.50","49.50","2022-01-12 02:25:00","2022-01-12 00:25:00","2022-01-11 19:25:00",NULL,NULL,NULL,NULL
"GYB220112-6604-58114"," Support 12-month Plan","AU","AQ_7","Call","Vicky","367.27","0",0,"0","64.81","367.27","2022-01-12 07:49:00","2022-01-12 05:49:00","2022-01-12 00:49:00",NULL,NULL,NULL,NULL
"GYB220112-8954-29108"," Support One Time PC Support ","US","AQ_25","Call","Vicky","119.20","0",0,"0","29.80","119.20","2022-01-12 04:39:00","2022-01-12 02:39:00","2022-01-11 21:39:00",NULL,NULL,NULL,NULL
"GYB220113-1511-25165"," Support One Time PC Support ","US","AQ_9","Call","Jacob","111.75","0",0,"0","37.25","111.75","2022-01-13 19:44:00","2022-01-13 17:44:00","2022-01-13 12:44:00",NULL,NULL,NULL,NULL
"GYB220113-1511-88122"," Support 24-month Plan","US","AQ_9","Call","Rodger","576.00","0",0,"0","0.00","576.00","2022-01-13 18:07:00","2022-01-13 16:07:00","2022-01-13 11:07:00",NULL,NULL,NULL,NULL
"GYB220113-5542-30106"," Support Single Device Monthly Subscription","US","AQ_9","Call","Nick","218.85","139.65",7,"0","19.80","79.20","2022-01-14 02:26:00","2022-01-14 00:26:00","2022-01-13 19:26:00",NULL,NULL,NULL,NULL
"GYB220113-6911-97136"," Support 36-month Plan","US","AQ.Upgrade","Chat","Rodger","478.80","0",0,"0","205.20","478.80","2022-01-13 19:53:00","2022-01-13 17:53:00","2022-01-13 12:53:00",NULL,NULL,NULL,NULL
"GYB220113-8954-28128"," Support 12-month Plan","AU","AQ_7","Call","Isaac","323.99","0",0,"0","108.00","323.99","2022-01-14 02:21:00","2022-01-14 00:21:00","2022-01-13 19:21:00",NULL,NULL,NULL,NULL
"GYB220114-4354-98127"," Support 36-month Plan","US","AQ_9","Call","Jackie","684.00","0",0,"0","0.00","684.00","2022-01-15 02:39:00","2022-01-15 00:39:00","2022-01-14 19:39:00",NULL,NULL,NULL,NULL
"GYB220114-5542-89110"," Support Single Device Monthly Subscription","US","AQ_9","Call","Rodger","517.95","418.95",21,"0","0.00","99.00","2022-01-14 19:53:00","2022-01-14 17:53:00","2022-01-14 12:53:00",NULL,NULL,NULL,NULL
"GYB220114-6911-61143"," Support One Time PC Support ","US","AQ_9","Call","Rodger","74.50","0",0,"0","74.50","74.50","2022-01-14 23:37:00","2022-01-14 21:37:00","2022-01-14 16:37:00",NULL,NULL,NULL,NULL
"GYB220114-8954-36122"," Support 36-month Plan","US","BF.Upgrade","Call","Rodger","478.80","0",0,"0","205.20","478.80","2022-01-14 19:15:00","2022-01-14 17:15:00","2022-01-14 12:15:00",NULL,NULL,NULL,NULL
"GYB220114-8954-75165"," Support Single Device Monthly Subscription","US","AQ_9","Call","Nick","158.85","59.85",3,"0","0.00","99.00","2022-01-14 21:01:00","2022-01-14 19:01:00","2022-01-14 14:01:00",NULL,NULL,NULL,NULL
"GYB220115-1511-83127"," Support 36-month Plan","US","AQ_9","Call","Jackie","149.00","0",0,"535.00","0.00","684.00","2022-01-15 22:00:00","2022-01-15 20:00:00","2022-01-15 15:00:00","2022-06-15 13:52:00","2022-06-15 10:52:00","2022-06-15 06:52:00","150"
