"reference_id","country","product_code","product_name","subscription_start_date","subscription_deactivation_date","order_date_kyiv","return_date_kyiv","last_rebill_date_kyiv","subscription_duration_months","total_amount","discount_amount","number_of_rebills","original_amount","returned_amount","total_rebill_amount","has_chargeback","has_refund","sales_agent_name","source","campaign_name"
"GYB220101-1800-81123","AU","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-01 05:22:00",NULL,NULL,0,"119.19","29.80",0,"148.99","0","0","false","false","Esmee","Call","AQ_7"
"GYB220101-1800-27157","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-01","2022-10-08","2022-01-01 22:34:00",NULL,"2022-09-01 13:20:00",1,"149.25","49.75",6,"199.00","0","119.7","false","false","Nick","Chat","AQ_9"
"GYB220102-5490-53112","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-02","2022-02-02","2022-01-02 18:26:00",NULL,NULL,1,"99.00","0.00",0,"99.00","0","0","false","false","Clary","Chat","AQ_9"
"GYB220102-5490-23160","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-02",NULL,"2022-01-02 21:53:00","2022-01-04 12:38:00",NULL,36,"684.00","0.00",0,"684.00","634.00","0","false","true","Jackie","Call","AQ_9"
"GYB220103-4319-34119","US","gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-03",NULL,"2022-01-03 21:31:00",NULL,NULL,24,"489.60","86.40",0,"576.00","0","0","false","false","Jackie","Call","BF.Upgrade"
"GYB220103-6977-97158","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-04 00:17:00",NULL,NULL,0,"119.74","29.94",0,"149.68","0","0","false","false","Jackie","Call","AQ_1"
"GYB220104-5490-77123","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-04","2025-01-04","2022-01-04 18:25:00",NULL,NULL,36,"684.00","0.00",0,"684.00","0","0","false","false","Megan","Chat","AQ_9"
"GYB220104-8715-72118","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-04","2023-01-11","2022-01-04 19:32:00",NULL,NULL,1,"345.60","86.40",0,"432.00","0","0","false","false","Vicky","Call","AQ_9"
"GYB220104-4319-32105","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-04 21:53:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Megan","Chat","AQ_9"
"GYB220104-2435-91122","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-04 23:05:00",NULL,NULL,0,"148.86","0.00",0,"148.86","0","0","false","false","Vicky","Call","AQ_3"
"GYB220104-2435-90148","US","gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-04","2024-06-02","2022-01-05 01:33:00",NULL,NULL,24,"576.00","0.00",0,"576.00","0","0","false","false","Esmee","Call","ByteFence.CTA"
"GYB220105-5490-83111","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-05 07:07:00",NULL,NULL,0,"126.65","22.35",0,"149.00","0","0","false","false","Jackie","Call","AQ_9"
"GYB220105-4319-74113","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-06 01:08:00",NULL,NULL,0,"97.11","52.29",0,"149.40","0","0","false","false","Esmee","Call","AQ_1"
"GYB220106-2435-53108","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-06 03:43:00",NULL,NULL,0,"96.85","52.15",0,"149.00","0","0","false","false","n/a","n/a","n/a"
"GYB220106-5490-48130","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-06","2022-02-06","2022-01-06 17:51:00",NULL,NULL,1,"79.20","19.80",0,"99.00","0","0","false","false","Esmee","Call","AQ_9"
"GYB220106-2435-63145","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-06","2022-01-13","2022-01-06 18:43:00","2022-01-13 03:20:00",NULL,12,"432.00","0.00",0,"432.00","432.00","0","true","false","Esmee","Call","AQ_9"
"GYB220106-1800-64131","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-06","2022-02-06","2022-01-06 20:31:00",NULL,NULL,1,"99.00","0.00",0,"99.00","0","0","false","false","Esmee","Call","AQ_25"
"GYB220106-8715-51112","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-06 21:18:00",NULL,NULL,0,"149.45","0.00",0,"149.45","0","0","false","false","Jacob","Call","AQ_1"
"GYB220107-6911-85132","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-07",NULL,"2022-01-07 03:36:00",NULL,"2023-10-07 13:12:00",1,"432.00","0.00",10,"432.00","0","199.5","false","false","Biby","Chat","AQ_9"
"GYB220107-6604-87123","US","aq-gyb-support-6-month-plan-lo"," Support 6-month Plan","2022-01-07","2022-06-07","2022-01-07 20:07:00",NULL,NULL,6,"174.30","74.70",0,"249.00","0","0","false","false","Rodger","Call","AQ.Upgrade"
"GYB220107-1511-41116","CA","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-07",NULL,"2022-01-07 20:35:00",NULL,NULL,36,"683.68","0.00",0,"683.68","0","0","false","false","Jayce","Call","AQ_9"
